artist,country,place_final,points_final,title,year
Alexej Vorobjov,Russia,16.0,77.0,Get You,2011
Senit,San Marino,,,Stand By,2011
Nina,Serbia,14.0,85.0,Čaroban,2011
TWiiNS,Slovakia,,,I'm Still Alive,2011
Maja Keuc,Slovenia,13.0,96.0,No One,2011
Lucía Pérez,Spain,23.0,50.0,Que Me Quiten Lo Bailao - They Can't Take The Fun Away From Me,2011
Eric Saade,Sweden,3.0,185.0,Popular,2011
Anna Rossinelli,Switzerland,25.0,19.0,In Love For A While,2011
Yüksek Sadakat,Turkey,,,Live It Up,2011
Mika Newton,Ukraine,4.0,159.0,Angel,2011
Blue,United Kingdom,11.0,100.0,I Can,2011
Juliana Pasha,Albania,16.0,62.0,It's All About You,2010
Eva Rivas,Armenia,7.0,141.0,Apricot Stone,2010
Safura,Azerbaijan,5.0,145.0,Drip Drop,2010
3+2,Belarus,24.0,18.0,Butterflies,2010
Tom Dice,Belgium,6.0,143.0,Me And My Guitar,2010
Vukašin Brajić,Bosnia & Herzegovina,17.0,51.0,Thunder And Lightning,2010
Miro,Bulgaria,,,Angel Si Ti,2010
Feminnem,Croatia,,,Lako Je Sve,2010
Jon Lilygreen & The Islanders,Cyprus,21.0,27.0,Life Looks Better In Spring,2010
Chanée & N'evergreen,Denmark,4.0,149.0,In A Moment Like This,2010
Malcolm Lincoln,Estonia,,,Siren,2010
Kuunkuiskaajat,Finland,,,Työlki Ellää,2010
Jessy Matador,France,12.0,82.0,Allez Ola Olé,2010
Sofia Nizharadze,Georgia,9.0,136.0,Shine,2010
Lena,Germany,1.0,246.0,Satellite,2010
Giorgos Alkaios & Friends,Greece,8.0,140.0,OPA,2010
Hera Björk,Iceland,19.0,41.0,Je Ne Sais Quoi,2010
Niamh Kavanagh,Ireland,23.0,25.0,It's For You,2010
Harel Skaat,Israel,14.0,71.0,Milim,2010
Aisha,Latvia,,,What For?,2010
InCulto,Lithuania,,,Eastern European Funk,2010
Thea Garrett,Malta,,,My Dream,2010
Sunstroke Project & Olia Tira,Moldova,22.0,27.0,Run Away,2010
Sieneke,Netherlands,,,Ik Ben Verliefd (Sha-la-lie),2010
Gjoko Taneski,North Macedonia,,,Jas Ja Imam Silata,2010
Didrik Solli-Tangen,Norway,20.0,35.0,My Heart Is Yours,2010
Marcin Mroziński,Poland,,,Legenda,2010
Filipa Azevedo,Portugal,18.0,43.0,Há Dias Assim,2010
Paula Seling & Ovi,Romania,3.0,162.0,Playing With Fire,2010
Peter Nalitch & Friends,Russia,11.0,90.0,Lost And Forgotten,2010
